Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Year,Player-additional.1
Eduardo Escobar#,32,ARI,NL,2.2,98,400,370,50,91,14,3,22,65,1,0,29,85,0.246,0.3,0.478,0.778,107.0,0.337,106.0,177,1,0,0,1,1,54/H6,,escobed01,2021,
Josh Rojas*,27,ARI,NL,0.8,139,550,484,69,128,32,3,11,44,9,4,58,137,0.264,0.341,0.411,0.752,103.0,0.335,105.0,199,7,0,1,3,1,4697H5,,rojasjo01,2021,
Pavin Smith*,25,ARI,NL,-0.1,145,545,498,68,133,27,4,11,49,1,0,42,106,0.267,0.328,0.404,0.732,98.0,0.323,96.0,201,11,4,0,1,1,398H7,,smithpa04,2021,
David Peralta*,33,ARI,NL,1.2,150,538,487,57,126,30,8,8,63,2,1,46,92,0.259,0.325,0.402,0.728,96.0,0.319,94.0,196,9,3,0,2,3,*7H/1D,,peralda01,2021,
Nick Ahmed,31,ARI,NL,0.8,129,473,434,46,96,30,3,5,38,7,2,34,104,0.221,0.28,0.339,0.619,67.0,0.28,65.0,147,9,2,2,1,3,*6/H,,ahmedni01,2021,
Christian Walker,30,ARI,NL,0.6,115,445,401,55,98,23,1,10,46,0,0,38,106,0.244,0.315,0.382,0.696,88.0,0.307,86.0,153,8,4,0,2,1,3H/D,,walkech02,2021,
Ketel Marte#,27,ARI,NL,1.9,90,374,340,52,108,29,1,14,50,2,0,31,60,0.318,0.377,0.532,0.909,143.0,0.39,143.0,181,8,2,0,1,3,84/H,,marteke01,2021,
Carson Kelly,26,ARI,NL,2.1,98,359,304,41,73,11,1,13,46,0,0,44,74,0.24,0.343,0.411,0.754,104.0,0.339,108.0,125,10,6,0,5,1,2H,,kellyca02,2021,
Asdrúbal Cabrera#,35,ARI,NL,0.9,90,321,283,34,69,21,0,7,40,1,0,33,73,0.244,0.324,0.392,0.716,93.0,0.317,92.0,111,6,2,0,3,1,5H3/1D6,,cabreas01,2021,
Daulton Varsho*,24,ARI,NL,1.6,95,315,284,41,70,17,2,11,38,6,0,30,67,0.246,0.318,0.437,0.755,102.0,0.334,101.0,124,4,0,1,0,3,28H79,,varshda01,2021,
Josh VanMeter*,26,ARI,NL,-0.2,112,310,274,26,58,17,2,6,36,3,2,33,83,0.212,0.297,0.354,0.651,76.0,0.295,78.0,97,5,1,0,2,0,4H5/379,,vanmejo01,2021,
Stephen Vogt*,36,ARI,NL,0.2,52,151,132,17,28,6,1,5,17,0,0,18,36,0.212,0.307,0.386,0.693,87.0,0.309,87.0,51,2,0,1,0,1,2H/3,,vogtst01,2021,
Kole Calhoun*,33,ARI,NL,0.0,51,182,166,17,39,8,0,5,17,1,0,15,41,0.235,0.297,0.373,0.67,81.0,0.3,80.0,62,2,0,0,1,0,9H/D,,calhoko01,2021,
