Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,Year
Merrill Kelly,32,ARI,NL,2.5,7,11,0.389,4.44,27,27,0,0,0,0,158.0,163,82,78,21,41,3,130,4,0,2,667,95.0,4.11,1.291,9.3,1.2,2.3,7.4,3.17,,kellyme01,2021
Madison Bumgarner*,31,ARI,NL,1.4,7,10,0.412,4.67,26,26,0,1,1,0,146.1,134,82,76,24,39,2,124,11,1,2,613,90.0,4.63,1.182,8.2,1.5,2.4,7.6,3.18,,bumgama01,2021
Zac Gallen,25,ARI,NL,2.1,4,10,0.286,4.3,23,23,0,1,1,0,121.1,108,61,58,19,49,1,139,5,0,6,523,98.0,4.25,1.294,8.0,1.4,3.6,10.3,2.84,,galleza01,2021
Caleb Smith*,29,ARI,NL,0.7,4,9,0.308,4.83,45,13,4,0,0,0,113.2,93,64,61,20,63,3,124,6,0,2,500,87.0,5.1,1.372,7.4,1.6,5.0,9.8,1.97,,smithca03,2021
Matt Peacock,27,ARI,NL,0.2,5,7,0.417,4.9,35,8,12,0,0,0,86.1,107,55,47,13,28,5,50,1,1,2,386,86.0,4.98,1.564,11.2,1.4,2.9,5.2,1.79,,peacoma01,2021
Taylor Widener,26,ARI,NL,0.8,2,1,0.667,4.35,23,13,0,0,0,0,70.1,65,38,34,14,37,3,73,7,0,1,319,97.0,5.56,1.45,8.3,1.8,4.7,9.3,1.97,,widenta01,2021
Riley Smith,26,ARI,NL,-0.4,1,4,0.2,6.01,24,6,4,0,0,1,67.1,86,46,45,10,15,2,36,4,0,0,301,70.0,4.88,1.5,11.5,1.3,2.0,4.8,2.4,,smithri01,2021
Luke Weaver,27,ARI,NL,1.0,3,6,0.333,4.25,13,13,0,0,0,0,65.2,58,34,31,11,20,3,62,1,0,0,275,100.0,4.42,1.188,7.9,1.5,2.7,8.5,3.1,,weavelu01,2021
Alex Young*,27,ARI,NL,-0.9,2,6,0.25,6.26,30,2,7,0,0,0,41.2,50,34,29,11,20,3,38,1,0,2,193,68.0,6.29,1.68,10.8,2.4,4.3,8.2,1.9,,youngal01,2021
Brett de Geus,23,ARI,NL,-0.8,3,2,0.6,6.56,28,0,9,0,0,0,23.1,31,22,17,3,12,1,15,2,0,3,111,65.0,5.36,1.843,12.0,1.2,4.6,5.8,1.25,,degeubr01,2021
Humberto Castellanos,23,ARI,NL,0.3,2,2,0.5,4.93,14,7,2,0,0,0,45.2,48,26,25,7,15,0,29,2,0,0,196,86.0,5.01,1.38,9.5,1.4,3.0,5.7,1.93,,castehu01,2021
J.B. Wendelken,28,ARI,NL,0.2,2,2,0.5,4.34,20,0,9,0,0,2,18.2,15,9,9,2,9,1,13,0,0,0,77,99.0,4.62,1.286,7.2,1.0,4.3,6.3,1.44,,wendejb01,2021
Taylor Clarke,28,ARI,NL,0.0,1,3,0.25,4.98,43,0,10,0,0,0,43.1,52,28,24,4,14,2,39,0,0,2,194,85.0,3.54,1.523,10.8,0.8,2.9,8.1,2.79,,clarkta01,2021
Tyler Gilbert*,27,ARI,NL,1.1,2,2,0.5,3.15,9,6,0,1,1,0,40.0,28,17,14,4,13,0,25,1,0,0,157,135.0,4.27,1.025,6.3,0.9,2.9,5.6,1.92,,gilbety01,2021
Joe Mantiply*,30,ARI,NL,0.0,0,3,0.0,3.4,57,0,7,0,0,0,39.2,45,24,15,1,17,3,38,1,0,2,177,125.0,2.94,1.563,10.2,0.2,3.9,8.6,2.24,,mantijo01,2021
Joakim Soria,37,ARI,NL,0.3,1,4,0.2,4.3,31,0,20,0,0,6,29.1,31,14,14,4,8,0,31,1,1,1,125,99.0,3.75,1.33,9.5,1.2,2.5,9.5,3.88,,soriajo01,2021
Noé Ramirez,31,ARI,NL,0.8,0,2,0.0,2.76,36,0,6,0,0,1,32.2,18,12,10,2,11,0,29,3,0,2,132,154.0,3.48,0.888,5.0,0.6,3.0,8.0,2.64,,ramirno01,2021
