"last_name, first_name",player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
"Peralta, David",444482,2021,33,487,538,126,80,30,8,8,92,46,17.1,8.6,0.259,0.402,0.325,0.727,0.143,0.303,63,214,196,1,2,0.239,0.346,0.314,0.294,0.31,0.107,,,,,,,,,,,,,89.3,5.3,27.2,5.0
"Cabrera, Asdrúbal",452678,2021,35,309,352,71,43,21,0,7,80,36,22.7,10.2,0.23,0.366,0.313,0.679,0.136,0.283,42,151,113,0,1,0.212,0.339,0.297,0.288,0.3,0.127,,,,,,,,,,,,,87.8,14.5,30.0,6.0
"Escobar, Eduardo",500871,2021,32,549,599,139,80,26,5,28,124,48,20.7,8.0,0.253,0.472,0.314,0.786,0.219,0.279,90,255,259,0,1,0.246,0.46,0.334,0.329,0.307,0.214,,,,,,,,,,,,,87.0,20.8,38.0,8.9
"Reddick, Josh",502210,2021,34,151,158,39,26,11,0,2,31,6,19.6,3.8,0.258,0.371,0.285,0.656,0.113,0.311,21,62,56,0,0,0.262,0.386,0.283,0.292,0.288,0.124,,,,,,,,,,,,,85.1,16.8,40.5,2.5
"Bumgarner, Madison",518516,2021,31,39,52,4,3,1,0,0,29,9,55.8,17.3,0.103,0.128,0.28,0.408,0.025,0.364,3,31,5,0,0,0.092,0.143,0.217,0.217,0.272,0.051,,,,,,,,,,,,,87.2,24.7,46.2,7.7
"Kelly, Merrill",518876,2021,32,47,58,3,2,1,0,0,27,4,46.6,6.9,0.064,0.085,0.137,0.222,0.021,0.15,1,38,4,0,0,0.066,0.075,0.113,0.113,0.139,0.009,,,,,,,,,,,,,76.4,-3.6,11.1,0.0
"Vogt, Stephen",519390,2021,36,210,238,41,27,6,1,7,56,26,23.5,10.9,0.195,0.333,0.283,0.616,0.138,0.23,25,100,70,0,0,0.213,0.371,0.27,0.295,0.3,0.158,,,,,,,,,,,,,88.5,19.2,32.1,5.1
"Vargas, Ildemaro",545121,2021,29,77,83,12,8,3,1,0,17,6,20.5,7.2,0.156,0.221,0.217,0.438,0.065,0.2,7,47,17,0,1,0.211,0.281,0.192,0.245,0.268,0.07,,,,,,,,,,,,,84.6,2.8,28.3,1.7
"Walker, Christian",572233,2021,30,401,445,98,64,23,1,10,106,38,23.8,8.5,0.244,0.382,0.315,0.697,0.138,0.307,46,174,153,0,0,0.246,0.396,0.304,0.314,0.317,0.15,,,,,,,,,,,,,88.8,15.6,34.0,6.4
"Holaday, Bryan",592407,2021,33,31,34,6,4,2,0,0,15,1,44.1,2.9,0.194,0.258,0.265,0.523,0.064,0.375,1,16,8,0,0,0.143,0.191,0.239,0.194,0.219,0.048,,,,,,,,,,,,,88.4,22.8,31.3,0.0
"Ramos, Henry",592656,2021,29,50,55,10,7,2,0,1,12,4,21.8,7.3,0.2,0.3,0.255,0.555,0.1,0.237,8,19,15,0,0,0.211,0.323,0.244,0.262,0.266,0.112,,,,,,,,,,,,,87.3,13.7,23.1,5.1
"Smith, Caleb",592761,2021,29,22,25,2,1,1,0,0,14,1,56.0,4.0,0.091,0.136,0.167,0.303,0.045,0.25,0,8,3,0,1,0.091,0.129,0.147,0.153,0.166,0.039,,,,,,,,,,,,,74.2,-16.8,22.2,0.0
"Calhoun, Kole",594777,2021,33,166,182,39,26,8,0,5,41,15,22.5,8.2,0.235,0.373,0.297,0.67,0.138,0.281,17,87,62,0,1,0.217,0.405,0.292,0.298,0.282,0.188,,,,,,,,,,,,,88.5,17.3,38.1,6.3
"Weaver, Luke",596133,2021,27,19,22,2,2,0,0,0,12,1,54.5,4.5,0.105,0.105,0.15,0.255,0.0,0.286,1,11,2,0,0,0.096,0.112,0.122,0.123,0.141,0.017,,,,,,,,,,,,,85.8,-2.1,33.3,0.0
"Ahmed, Nick",605113,2021,31,434,473,96,58,30,3,5,104,34,22.0,7.2,0.221,0.339,0.28,0.619,0.118,0.279,38,193,147,2,7,0.207,0.298,0.269,0.253,0.268,0.091,,,,,,,,,,,,,87.2,10.1,27.9,2.4
"Marte, Ketel",606466,2021,27,340,374,108,64,29,1,14,60,31,16.0,8.3,0.318,0.532,0.377,0.909,0.214,0.352,50,107,181,0,2,0.301,0.496,0.385,0.371,0.364,0.195,,,,,,,,,,,,,91.1,10.3,33.5,8.9
"Hager, Jake",606993,2021,28,26,30,3,3,0,0,0,14,4,46.7,13.3,0.115,0.115,0.233,0.348,0.0,0.25,2,9,3,0,0,0.164,0.203,0.18,0.231,0.275,0.039,,,,,,,,,,,,,86.2,5.8,50.0,0.0
"Kelly, Carson",608348,2021,26,304,359,73,48,11,1,13,74,44,20.6,12.3,0.24,0.411,0.343,0.754,0.171,0.27,46,147,125,0,0,0.25,0.431,0.328,0.345,0.354,0.182,,,,,,,,,,,,,88.2,18.6,37.9,8.5
"Mathisen, Wyatt",621500,2021,27,42,51,5,4,0,0,1,21,5,41.2,9.8,0.119,0.19,0.255,0.445,0.071,0.19,8,26,8,0,0,0.174,0.277,0.219,0.269,0.3,0.103,,,,,,,,,,,,,86.8,23.7,31.8,4.5
"Locastro, Tim",641796,2021,28,139,156,25,19,4,0,2,33,7,21.2,4.5,0.18,0.252,0.263,0.515,0.072,0.219,7,63,35,3,5,0.208,0.278,0.237,0.262,0.289,0.07,,,,,,,,,,,,,82.1,14.3,32.7,0.9
"Smith, Riley",642092,2021,26,16,17,0,0,0,0,0,11,0,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,0,0.063,0.075,0.0,0.06,0.063,0.013,,,,,,,,,,,,,86.5,16.6,33.3,0.0
"VanMeter, Josh",642165,2021,26,274,310,58,33,17,2,6,83,33,26.8,10.6,0.212,0.354,0.297,0.651,0.142,0.278,36,106,97,2,3,0.199,0.323,0.287,0.274,0.286,0.124,,,,,,,,,,,,,89.3,19.6,30.1,5.2
