"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,p_earned_run,p_run,p_save,p_blown_save,p_out,p_win,p_loss,p_wild_pitch,p_balk,p_shutout,p_era,p_opp_batting_avg,p_opp_on_base_avg,p_total_stolen_base,p_quality_start,p_run_support,xba,xslg,woba,xwoba,xobp,xiso,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Weems, Jordan",607179,2021,28,7,5.2,30,23,6,2,1,1,2,7,6,23.3,20.0,0.261,0.652,0.433,1.085,0.391,0.286,10,10,0,1,17,0,1,1,0,0,15.88,,,0,0,1,0.294,0.641,0.44,0.451,0.459,0.347,,,,,,,,,,,,,95.2,13.0,56.3,18.8,62.5,85.46646125,97.930929375,24.6,45.5
"Bumgarner, Madison",518516,2021,31,26,146.1,613,553,134,75,33,2,24,124,39,20.2,6.4,0.242,0.439,0.302,0.741,0.197,0.267,76,82,0,0,439,7,10,2,1,1,4.67,,,11,10,75,0.241,0.437,0.315,0.319,0.303,0.196,,,,,,,,,,,,,88.8,18.5,38.0,7.5,38.5,78.472563241,93.804930325,21.7,49.0
"Peacock, Matt",676840,2021,27,35,86.1,386,352,107,69,22,3,13,50,28,13.0,7.3,0.304,0.494,0.354,0.848,0.19,0.322,47,55,0,0,259,5,7,2,1,0,4.9,,,1,1,51,0.264,0.414,0.357,0.317,0.319,0.151,,,,,,,,,,,,,90.2,2.7,25.1,6.2,45.9,79.562991457,94.835241026,18.0,46.6
"Gallen, Zac",668678,2021,25,23,121.1,523,463,108,65,22,2,19,139,49,26.6,9.4,0.233,0.413,0.312,0.725,0.18,0.289,58,61,0,0,364,4,10,6,0,1,4.3,,,1,8,63,0.227,0.387,0.313,0.307,0.307,0.16,,,,,,,,,,,,,89.2,12.3,32.7,7.9,43.0,78.810645679,94.106073611,23.6,44.3
"Mejía, Humberto",650668,2021,24,5,22.1,105,94,32,11,13,3,5,20,9,19.0,8.6,0.34,0.702,0.394,1.096,0.362,0.386,18,19,0,0,67,0,3,0,0,0,7.25,,,1,0,8,0.295,0.498,0.447,0.36,0.354,0.203,,,,,,,,,,,,,90.0,17.1,42.1,7.9,34.2,81.142165263,93.624494267,21.6,50.6
"Clippard, Tyler",461325,2021,36,26,25.1,111,95,22,13,5,1,3,21,11,18.9,9.9,0.232,0.4,0.327,0.727,0.168,0.264,9,12,6,3,76,1,1,1,0,0,3.2,,,3,0,1,0.252,0.502,0.315,0.359,0.345,0.25,,,,,,,,,,,,,88.1,23.5,36.8,11.8,38.2,77.317284865,93.459086622,24.3,46.1
"Mantiply, Joe",573009,2021,30,57,39.2,177,154,45,28,11,5,1,38,17,21.5,9.6,0.292,0.448,0.358,0.806,0.156,0.37,15,24,0,2,119,0,3,2,0,0,3.4,,,1,0,17,0.245,0.38,0.338,0.305,0.322,0.134,,,,,,,,,,,,,86.6,7.7,35.5,5.8,36.4,73.627826552,93.985117739,27.9,48.5
"Ginkel, Kevin",656464,2021,27,32,28.1,129,112,30,14,8,1,7,31,14,24.0,10.9,0.268,0.545,0.359,0.904,0.277,0.311,20,24,0,1,85,0,1,3,0,0,6.35,,,0,0,6,0.24,0.456,0.383,0.346,0.335,0.215,,,,,,,,,,,,,86.4,15.7,41.5,13.4,36.6,74.949648049,93.166717407,25.3,45.5
"Soria, Joakim",465657,2021,37,41,37.1,159,145,39,21,11,1,6,40,12,25.2,7.5,0.269,0.483,0.327,0.81,0.214,0.33,21,21,6,3,112,1,4,2,1,0,5.06,,,1,0,6,0.24,0.396,0.344,0.304,0.3,0.157,,,,,,,,,,,,,88.3,18.2,34.9,7.5,38.7,77.115081509,94.020911524,26.0,51.4
"Devenski, Chris",606965,2021,30,8,7.1,35,32,11,7,2,0,2,5,2,14.3,5.7,0.344,0.594,0.4,0.994,0.25,0.36,7,7,1,2,22,1,0,0,0,0,8.59,,,5,0,11,0.356,0.741,0.422,0.478,0.411,0.386,,,,,,,,,,,,,89.7,15.1,51.9,18.5,37.0,79.942047143,94.06894963,25.8,45.5
