Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Year,Player-additional.1,player_clean,xwoba,xslg,xba,barrel_batted_rate,exit_velocity_avg,sweet_spot_percent,k_percent,bb_percent,WAR_per_600,proj_WAR_600,hitting_archetype
Ketel Marte#,31,ARI,NL,4.4,126,556,480,87,136,28,0,28,72,4,2,64,83,0.283,0.376,0.517,0.893,145.0,0.381,142.0,248,12,9,0,3,6,4D/H,ASMVP-22SS,marteke01,2025,marteke01,ketel marte,0.39,0.534,0.285,13.5,90.8,33.0,14.9,11.5,4.748201438848921,5.110861176495536,Power Bat
Josh Naylor*,28,ARI,NL,0.8,93,394,349,49,102,19,1,11,59,11,2,37,49,0.292,0.36,0.447,0.807,123.0,0.356,122.0,156,14,2,0,4,4,3D/H,,naylojo01,2025,naylojo01,josh naylor,0.335,0.436,0.271,6.7,89.2,30.8,13.7,7.9,1.218274111675127,4.634727916381949,Replacement-Level / Depth
Corbin Carroll*,24,ARI,NL,5.8,143,642,564,107,146,32,17,31,84,32,6,67,153,0.259,0.343,0.541,0.883,140.0,0.382,137.0,305,6,7,0,4,4,*9/8DH,ASMVP-6SS,carroco02,2025,carroco02,corbin carroll,0.372,0.529,0.262,14.5,92.1,33.5,23.8,10.4,5.420560747663552,4.360117420872815,Power Bat
Gabriel Moreno,25,ARI,NL,1.6,83,309,277,44,79,12,1,9,40,2,2,29,53,0.285,0.353,0.433,0.786,117.0,0.341,115.0,120,6,1,0,2,3,2/DH,,morenga01,2025,morenga01,gabriel moreno,0.346,0.453,0.279,7.1,90.4,39.8,17.2,9.4,3.1067961165048543,4.0370676233670935,Power–Contact Hybrid
Geraldo Perdomo#,25,ARI,NL,7.0,161,720,597,98,173,33,5,20,100,27,6,94,83,0.29,0.389,0.462,0.851,136.0,0.382,139.0,276,11,10,8,11,1,*6/H,MVP-4SS,perdoge01,2025,perdoge01,geraldo perdomo,0.356,0.424,0.278,6.2,87.6,36.2,11.5,13.1,5.833333333333333,3.981090362465997,High-OBP / Table Setter
Randal Grichuk,33,ARI,NL,-0.4,70,188,175,25,42,15,1,7,22,0,1,10,39,0.24,0.277,0.457,0.734,99.0,0.317,98.0,80,5,0,0,3,1,DH9/78,,grichra01,2025,grichra01,randal grichuk,0.326,0.457,0.259,11.7,92.4,33.6,20.8,5.8,-1.2765957446808511,3.957804826740953,Replacement-Level / Depth
Jake McCarthy*,27,ARI,NL,-0.7,67,222,206,18,42,7,5,4,20,6,0,10,40,0.204,0.247,0.345,0.591,62.0,0.271,59.0,71,2,2,3,1,0,789/HD,,mccarja02,2025,mccarja02,jake mccarthy,0.286,0.374,0.239,5.3,84.7,28.2,18.0,4.5,-1.891891891891892,2.814534072290166,Replacement-Level / Depth
Alek Thomas*,25,ARI,NL,0.1,143,469,433,51,108,19,3,9,38,7,4,21,122,0.249,0.289,0.37,0.659,82.0,0.291,78.0,160,2,5,6,4,0,*8/HD,,thomaal01,2025,thomaal01,alek thomas,0.289,0.372,0.242,7.8,89.6,27.7,26.0,4.5,0.1279317697228145,2.3612509015512213,Replacement-Level / Depth
José Herrera#,28,ARI,NL,0.0,57,204,166,21,31,6,0,2,17,0,0,23,47,0.187,0.285,0.259,0.544,53.0,0.254,49.0,43,2,1,11,3,0,2026-02-01 00:00:00,,herrejo04,2025,herrejo04,josé herrera,,,,,,,,,0.0,2.233515272854526,Replacement-Level / Depth
Lourdes Gurriel Jr.,31,ARI,NL,0.5,129,546,500,52,124,24,2,19,80,10,4,31,76,0.248,0.295,0.418,0.713,95.0,0.314,94.0,209,11,6,0,9,0,*7D/H,,gurrilo01,2025,gurrilo01,lourdes gurriel jr.,,,,,,,,,0.5494505494505495,1.859073181540224,Replacement-Level / Depth
Eugenio Suárez,33,ARI,NL,3.3,106,437,387,64,96,19,0,36,87,1,0,29,117,0.248,0.32,0.576,0.897,142.0,0.386,145.0,223,7,15,0,6,1,5/DH3,,suareeu01,2025,suareeu01,eugenio suárez,0.32,0.463,0.211,14.3,90.2,32.8,29.8,7.0,4.530892448512586,1.6559791219956783,Power Bat
Tim Tawa,26,ARI,NL,0.5,74,225,199,29,40,8,0,7,18,8,2,20,64,0.201,0.274,0.347,0.62,71.0,0.284,70.0,69,6,1,2,3,0,4387H/59,,tawati01,2025,tawati01,tim tawa,0.29,0.368,0.206,9.3,89.2,31.4,28.4,8.9,1.3333333333333333,0.9788204557183044,Replacement-Level / Depth
Blaze Alexander,26,ARI,NL,1.7,74,266,230,31,53,12,1,7,28,4,6,22,86,0.23,0.323,0.383,0.706,95.0,0.315,101.0,88,5,10,3,1,0,54/H78D,,alexabl01,2025,alexabl01,blaze alexander,0.305,0.374,0.211,12.8,90.2,35.8,32.3,8.3,3.8345864661654137,0.7556423929197336,Replacement-Level / Depth
Pavin Smith*,29,ARI,NL,0.4,87,288,244,36,63,17,1,8,28,2,2,41,92,0.258,0.362,0.434,0.797,120.0,0.35,121.0,106,7,0,0,2,1,D3H,,smithpa04,2025,smithpa04,pavin smith,0.319,0.398,0.215,11.7,90.1,37.0,31.9,14.2,0.8333333333333334,-0.7711659373671416,Replacement-Level / Depth
