Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Year,Player-additional.1,player_clean,xwoba,xslg,xba,barrel_batted_rate,exit_velocity_avg,sweet_spot_percent,k_percent,bb_percent
Eduardo Escobar#,32,ARI,NL,2.2,98,400,370,50,91,14,3,22,65,1,0,29,85,0.246,0.3,0.478,0.778,107.0,0.337,106.0,177,1,0,0,1,1,54/H6,,escobed01,2021,,eduardo escobar,0.329,0.46,0.246,8.9,87.0,38.0,20.7,8.0
Josh Rojas*,27,ARI,NL,0.8,139,550,484,69,128,32,3,11,44,9,4,58,137,0.264,0.341,0.411,0.752,103.0,0.335,105.0,199,7,0,1,3,1,4697H5,,rojasjo01,2021,,josh rojas,0.295,0.352,0.228,4.8,88.2,40.7,24.9,10.5
Pavin Smith*,25,ARI,NL,-0.1,145,545,498,68,133,27,4,11,49,1,0,42,106,0.267,0.328,0.404,0.732,98.0,0.323,96.0,201,11,4,0,1,1,398H7,,smithpa04,2021,,pavin smith,0.315,0.404,0.251,5.1,87.2,33.6,19.4,7.7
David Peralta*,33,ARI,NL,1.2,150,538,487,57,126,30,8,8,63,2,1,46,92,0.259,0.325,0.402,0.728,96.0,0.319,94.0,196,9,3,0,2,3,*7H/1D,,peralda01,2021,,david peralta,0.294,0.346,0.239,5.0,89.3,27.2,17.1,8.6
Nick Ahmed,31,ARI,NL,0.8,129,473,434,46,96,30,3,5,38,7,2,34,104,0.221,0.28,0.339,0.619,67.0,0.28,65.0,147,9,2,2,1,3,*6/H,,ahmedni01,2021,,nick ahmed,0.253,0.298,0.207,2.4,87.2,27.9,22.0,7.2
Christian Walker,30,ARI,NL,0.6,115,445,401,55,98,23,1,10,46,0,0,38,106,0.244,0.315,0.382,0.696,88.0,0.307,86.0,153,8,4,0,2,1,3H/D,,walkech02,2021,,christian walker,0.314,0.396,0.246,6.4,88.8,34.0,23.8,8.5
Ketel Marte#,27,ARI,NL,1.9,90,374,340,52,108,29,1,14,50,2,0,31,60,0.318,0.377,0.532,0.909,143.0,0.39,143.0,181,8,2,0,1,3,84/H,,marteke01,2021,,ketel marte,0.371,0.496,0.301,8.9,91.1,33.5,16.0,8.3
Carson Kelly,26,ARI,NL,2.1,98,359,304,41,73,11,1,13,46,0,0,44,74,0.24,0.343,0.411,0.754,104.0,0.339,108.0,125,10,6,0,5,1,2H,,kellyca02,2021,,carson kelly,0.345,0.431,0.25,8.5,88.2,37.9,20.6,12.3
Asdrúbal Cabrera#,35,ARI,NL,0.9,90,321,283,34,69,21,0,7,40,1,0,33,73,0.244,0.324,0.392,0.716,93.0,0.317,92.0,111,6,2,0,3,1,5H3/1D6,,cabreas01,2021,,asdrúbal cabrera,0.288,0.339,0.212,6.0,87.8,30.0,22.7,10.2
Daulton Varsho*,24,ARI,NL,1.6,95,315,284,41,70,17,2,11,38,6,0,30,67,0.246,0.318,0.437,0.755,102.0,0.334,101.0,124,4,0,1,0,3,28H79,,varshda01,2021,,daulton varsho,0.324,0.436,0.245,7.3,87.7,31.7,21.3,9.5
Josh VanMeter*,26,ARI,NL,-0.2,112,310,274,26,58,17,2,6,36,3,2,33,83,0.212,0.297,0.354,0.651,76.0,0.295,78.0,97,5,1,0,2,0,4H5/379,,vanmejo01,2021,,josh vanmeter,0.274,0.323,0.199,5.2,89.3,30.1,26.8,10.6
Stephen Vogt*,36,ARI,NL,0.2,52,151,132,17,28,6,1,5,17,0,0,18,36,0.212,0.307,0.386,0.693,87.0,0.309,87.0,51,2,0,1,0,1,2H/3,,vogtst01,2021,,stephen vogt,0.295,0.371,0.213,5.1,88.5,32.1,23.5,10.9
Kole Calhoun*,33,ARI,NL,0.0,51,182,166,17,39,8,0,5,17,1,0,15,41,0.235,0.297,0.373,0.67,81.0,0.3,80.0,62,2,0,0,1,0,9H/D,,calhoko01,2021,,kole calhoun,0.298,0.405,0.217,6.3,88.5,38.1,22.5,8.2
Josh Reddick*,34,ARI,NL,-0.4,54,158,151,15,39,11,0,2,21,0,0,6,31,0.258,0.285,0.371,0.656,76.0,0.297,78.0,56,4,0,0,1,0,9H/817,,reddijo01,2021,,josh reddick,0.292,0.386,0.262,2.5,85.1,40.5,19.6,3.8
Tim Locastro,28,ARI,NL,-0.7,55,133,118,11,21,2,0,1,5,5,3,6,26,0.178,0.271,0.22,0.491,36.0,0.236,37.0,26,2,9,0,0,0,8H/97,,locasti01,2021,,tim locastro,0.262,0.278,0.208,0.9,82.1,32.7,21.2,4.5
Andrew Young,27,ARI,NL,-0.7,58,104,91,13,19,7,0,6,15,0,0,6,45,0.209,0.298,0.484,0.782,107.0,0.334,104.0,44,3,6,0,1,0,H4/57D,,youngan02,2021,,andrew young,0.313,0.439,0.19,17.0,88.8,44.7,43.3,5.8
Domingo Leyba#,25,ARI,NL,-0.5,13,24,22,0,0,0,0,0,0,0,0,2,7,0.0,0.083,0.0,0.083,-74.0,0.058,-91.0,0,1,0,0,0,0,/4H5,,leybado01,2021,,domingo leyba,0.237,0.254,0.18,4.7,80.9,32.8,24.0,8.3
Drew Ellis,25,ARI,NL,-0.7,28,83,69,10,9,2,0,1,5,0,0,10,27,0.13,0.277,0.203,0.48,34.0,0.231,31.0,14,1,4,0,0,1,5/H4,,ellisdr01,2021,,drew ellis,0.231,0.197,0.132,2.4,81.8,26.2,32.5,12.0
Ildemaro Vargas#,29,ARI,NL,-0.1,18,46,43,4,8,1,1,0,4,0,0,3,7,0.186,0.239,0.256,0.495,35.0,0.271,59.0,11,1,0,0,0,1,/54H6,,vargail01,2021,,ildemaro vargas,0.245,0.281,0.211,1.7,84.6,28.3,20.5,7.2
Jake McCarthy*,23,ARI,NL,0.4,24,70,59,11,13,3,0,2,4,3,2,8,23,0.22,0.333,0.373,0.706,92.0,0.311,91.0,22,0,2,1,0,0,8/9H,,mccarja02,2021,,jake mccarthy,0.252,0.247,0.155,2.7,80.0,18.9,32.9,11.4
Merrill Kelly,32,ARI,NL,-0.2,27,58,47,1,3,1,0,0,1,0,0,4,27,0.064,0.137,0.085,0.222,-37.0,0.112,-74.0,4,1,0,7,0,0,1,,kellyme01,2021,,merrill kelly,0.113,0.075,0.066,0.0,76.4,11.1,46.6,6.9
Henry Ramos#,29,ARI,NL,-0.5,18,55,50,5,10,2,0,1,8,0,0,4,12,0.2,0.255,0.3,0.555,50.0,0.245,41.0,15,1,0,0,1,0,/9H7,,ramoshe01,2021,,henry ramos,0.262,0.323,0.211,5.1,87.3,23.1,21.8,7.3
Madison Bumgarner,31,ARI,NL,0.3,25,52,39,3,4,1,0,0,3,0,0,9,29,0.103,0.28,0.128,0.408,17.0,0.219,19.0,5,0,1,2,1,0,1/H,,bumgama01,2021,,madison bumgarner,0.217,0.143,0.092,7.7,87.2,46.2,55.8,17.3
Wyatt Mathisen,27,ARI,NL,-0.2,23,51,42,3,5,0,0,1,8,0,0,5,21,0.119,0.255,0.19,0.445,24.0,0.239,37.0,8,0,3,0,1,0,3H/571,,mathiwy01,2021,,wyatt mathisen,0.269,0.277,0.174,4.5,86.8,31.8,41.2,9.8
Zac Gallen,25,ARI,NL,0.2,22,42,32,2,6,2,0,0,3,0,0,1,18,0.188,0.212,0.25,0.462,25.0,0.2,-16.0,8,1,0,9,0,0,1,,galleza01,2021,,zac gallen,0.163,0.19,0.148,0.0,96.2,21.7,42.9,2.4
Nick Heath*,27,ARI,NL,-0.3,20,39,35,3,5,1,0,0,1,0,2,4,15,0.143,0.231,0.171,0.402,12.0,0.177,10.0,6,0,0,0,0,1,8/H,,heathni01,2021,,nick heath,0.212,0.21,0.176,0.0,84.8,35.0,38.5,10.3
Geraldo Perdomo#,21,ARI,NL,0.3,11,37,31,5,8,3,1,0,1,0,0,6,6,0.258,0.378,0.419,0.798,117.0,0.331,102.0,13,0,0,0,0,2,6/H,,perdoge01,2021,,geraldo perdomo,0.279,0.329,0.199,4.0,86.5,32.0,16.2,16.2
Bryan Holaday,33,ARI,NL,-0.1,13,34,31,2,6,2,0,0,1,0,0,1,15,0.194,0.265,0.258,0.523,43.0,0.239,37.0,8,0,2,0,0,0,2/H1,,holadbr01,2021,,bryan holaday,0.194,0.191,0.143,0.0,88.4,31.3,44.1,2.9
Jake Hager,28,ARI,NL,0.1,9,22,18,1,2,0,0,0,2,0,0,4,11,0.111,0.273,0.111,0.384,10.0,0.208,16.0,2,0,0,0,0,0,/4H6,,hagerja01,2021,,jake hager,0.231,0.203,0.164,0.0,86.2,50.0,46.7,13.3
Caleb Smith,29,ARI,NL,0.1,45,25,22,2,2,1,0,0,0,1,0,1,14,0.091,0.167,0.136,0.303,-16.0,0.159,-32.0,3,0,1,1,0,0,1,,smithca03,2021,,caleb smith,0.153,0.129,0.091,0.0,74.2,22.2,56.0,4.0
Luke Weaver,27,ARI,NL,0.1,13,22,19,1,2,0,0,0,1,0,0,1,12,0.105,0.15,0.105,0.255,-29.0,0.17,-23.0,2,0,0,2,0,0,1,,weavelu01,2021,,luke weaver,0.123,0.112,0.096,0.0,85.8,33.3,54.5,4.5
Taylor Widener*,26,ARI,NL,-0.1,20,18,16,1,1,0,0,0,0,0,0,1,11,0.063,0.118,0.063,0.18,-49.0,0.094,-75.0,1,0,0,1,0,0,1,,widenta01,2021,,taylor widener,0.077,0.041,0.04,0.0,77.4,0.0,61.1,5.6
Stuart Fairchild,25,ARI,NL,0.0,12,17,15,3,2,1,0,0,2,0,0,1,3,0.133,0.235,0.2,0.435,20.0,0.21,17.0,3,1,1,0,0,0,/H879,,faircst01,2021,,stuart fairchild,0.278,0.276,0.225,0.0,81.3,33.3,17.6,5.9
Matt Peacock,27,ARI,NL,0.2,33,17,16,3,4,0,0,0,2,1,0,1,4,0.25,0.294,0.25,0.544,50.0,0.261,43.0,4,1,0,0,0,0,1,,peacoma01,2021,,matt peacock,0.217,0.208,0.186,0.0,79.4,16.7,23.5,5.9
Riley Smith,26,ARI,NL,-0.1,24,17,16,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,-100.0,0.056,-105.0,0,0,0,1,0,0,1,,smithri01,2021,,riley smith,0.06,0.075,0.063,0.0,86.5,33.3,64.7,0.0
Tyler Gilbert*,27,ARI,NL,-0.1,8,11,9,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100.0,0.0,-185.0,0,0,0,2,0,0,/1,,gilbety01,2021,,tyler gilbert,0.075,0.085,0.079,0.0,64.9,0.0,54.5,0.0
Seth Beer*,24,ARI,NL,0.1,5,10,9,4,4,1,0,1,3,0,0,1,3,0.444,0.5,0.889,1.389,266.0,0.575,275.0,8,0,0,0,0,0,/DH3,,beerse01,2021,,seth beer,0.469,0.621,0.419,0.0,88.5,83.3,30.0,10.0
Humberto Mejía,24,ARI,NL,0.0,5,8,7,1,1,1,0,0,0,0,0,0,2,0.143,0.143,0.286,0.429,12.0,0.178,-21.0,2,0,0,1,0,0,/1,,mejiahu01,2021,,humberto mejía,,,,,,,,
Humberto Castellanos,23,ARI,NL,0.2,11,7,6,1,3,0,0,1,5,0,0,0,1,0.5,0.429,1.0,1.429,271.0,0.544,252.0,6,0,0,0,1,0,1,,castehu01,2021,,humberto castellanos,,,,,,,,
Seth Frankoff,32,ARI,NL,0.0,4,4,3,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,-23.0,0.174,-9.0,0,0,0,0,0,0,/1,,frankse01,2021,,seth frankoff,,,,,,,,
Corbin Martin,25,ARI,NL,0.0,5,4,4,0,1,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,37.0,0.225,28.0,1,0,0,0,0,0,/1,,martico02,2021,,corbin martin,,,,,,,,
Alex Young*,27,ARI,NL,-0.1,29,4,4,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100.0,0.0,-132.0,0,0,0,0,0,0,1,,youngal01,2021,,alex young,,,,,,,,
Taylor Clarke,28,ARI,NL,0.1,43,3,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,82.0,0.267,57.0,1,0,0,0,0,0,1,,clarkta01,2021,,taylor clarke,,,,,,,,
Jon Duplantier*,26,ARI,NL,0.0,3,3,2,0,0,0,0,0,0,0,0,0,2,0.0,0.333,0.0,0.333,3.0,0.242,40.0,0,0,1,0,0,0,/1,,duplajo01,2021,,jon duplantier,,,,,,,,
Jake Faria,27,ARI,NL,0.1,24,3,3,1,1,1,0,0,0,0,0,0,1,0.333,0.333,0.667,1.0,162.0,0.415,163.0,2,0,0,0,0,0,1,,fariaja01,2021,,jake faria,,,,,,,,
Sean Poppen,27,ARI,NL,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,poppese01,2021,,sean poppen,,,,,,,,
Miguel Aguilar*,29,ARI,NL,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,aguilmi01,2021,,miguel aguilar,,,,,,,,
Ryan Buchter*,34,ARI,NL,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,buchtry01,2021,,ryan buchter,,,,,,,,
JB Bukauskas,24,ARI,NL,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bukaujb01,2021,,jb bukauskas,,,,,,,,
Tyler Clippard,36,ARI,NL,0.0,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,clippty01,2021,,tyler clippard,,,,,,,,
Stefan Crichton,29,ARI,NL,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,crichst01,2021,,stefan crichton,,,,,,,,
Brett de Geus,23,ARI,NL,0.0,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,degeubr01,2021,,brett de geus,,,,,,,,
Chris Devenski,30,ARI,NL,0.0,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,devench02,2021,,chris devenski,,,,,,,,
Luis Frías,23,ARI,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,friaslu01,2021,,luis frías,,,,,,,,
Kevin Ginkel*,27,ARI,NL,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ginkeke01,2021,,kevin ginkel,,,,,,,,
Yoan López,28,ARI,NL,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,lopezyo01,2021,,yoan lópez,,,,,,,,
Joe Mantiply,30,ARI,NL,0.0,53,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,mantijo01,2021,,joe mantiply,,,,,,,,
Keury Mella,27,ARI,NL,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,mellake01,2021,,keury mella,,,,,,,,
Noé Ramirez,31,ARI,NL,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ramirno01,2021,,noé ramirez,,,,,,,,
