Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,Year,player_clean,p_era,xwoba,whiff_percent,k_percent,bb_percent,hard_hit_percent,barrel_batted_rate,exit_velocity_avg
Merrill Kelly,32,ARI,NL,2.5,7,11,0.389,4.44,27,27,0,0,0,0,158.0,163,82,78,21,41,3,130,4,0,2,667,95.0,4.11,1.291,9.3,1.2,2.3,7.4,3.17,,kellyme01,2021,merrill kelly,4.44,0.324,20.6,19.5,6.1,39.6,6.3,89.0
Madison Bumgarner*,31,ARI,NL,1.4,7,10,0.412,4.67,26,26,0,1,1,0,146.1,134,82,76,24,39,2,124,11,1,2,613,90.0,4.63,1.182,8.2,1.5,2.4,7.6,3.18,,bumgama01,2021,madison bumgarner,4.67,0.319,21.7,20.2,6.4,38.5,7.5,88.8
Zac Gallen,25,ARI,NL,2.1,4,10,0.286,4.3,23,23,0,1,1,0,121.1,108,61,58,19,49,1,139,5,0,6,523,98.0,4.25,1.294,8.0,1.4,3.6,10.3,2.84,,galleza01,2021,zac gallen,4.3,0.307,23.6,26.6,9.4,43.0,7.9,89.2
Caleb Smith*,29,ARI,NL,0.7,4,9,0.308,4.83,45,13,4,0,0,0,113.2,93,64,61,20,63,3,124,6,0,2,500,87.0,5.1,1.372,7.4,1.6,5.0,9.8,1.97,,smithca03,2021,caleb smith,4.83,0.312,27.5,24.8,12.6,29.1,8.5,86.8
Matt Peacock,27,ARI,NL,0.2,5,7,0.417,4.9,35,8,12,0,0,0,86.1,107,55,47,13,28,5,50,1,1,2,386,86.0,4.98,1.564,11.2,1.4,2.9,5.2,1.79,,peacoma01,2021,matt peacock,4.9,0.317,18.0,13.0,7.3,45.9,6.2,90.2
Taylor Widener,26,ARI,NL,0.8,2,1,0.667,4.35,23,13,0,0,0,0,70.1,65,38,34,14,37,3,73,7,0,1,319,97.0,5.56,1.45,8.3,1.8,4.7,9.3,1.97,,widenta01,2021,taylor widener,4.35,0.357,23.4,22.9,11.6,45.0,9.4,89.9
Riley Smith,26,ARI,NL,-0.4,1,4,0.2,6.01,24,6,4,0,0,1,67.1,86,46,45,10,15,2,36,4,0,0,301,70.0,4.88,1.5,11.5,1.3,2.0,4.8,2.4,,smithri01,2021,riley smith,6.01,0.347,13.8,12.0,5.0,41.1,7.3,89.3
Luke Weaver,27,ARI,NL,1.0,3,6,0.333,4.25,13,13,0,0,0,0,65.2,58,34,31,11,20,3,62,1,0,0,275,100.0,4.42,1.188,7.9,1.5,2.7,8.5,3.1,,weavelu01,2021,luke weaver,4.25,0.326,23.7,22.5,7.3,41.4,9.4,90.1
Alex Young*,27,ARI,NL,-0.9,2,6,0.25,6.26,30,2,7,0,0,0,41.2,50,34,29,11,20,3,38,1,0,2,193,68.0,6.29,1.68,10.8,2.4,4.3,8.2,1.9,,youngal01,2021,alex young,6.58,0.364,27.1,17.5,11.0,39.9,9.2,90.2
Brett de Geus,23,ARI,NL,-0.8,3,2,0.6,6.56,28,0,9,0,0,0,23.1,31,22,17,3,12,1,15,2,0,3,111,65.0,5.36,1.843,12.0,1.2,4.6,5.8,1.25,,degeubr01,2021,brett de geus,,,,,,,,
Humberto Castellanos,23,ARI,NL,0.3,2,2,0.5,4.93,14,7,2,0,0,0,45.2,48,26,25,7,15,0,29,2,0,0,196,86.0,5.01,1.38,9.5,1.4,3.0,5.7,1.93,,castehu01,2021,humberto castellanos,4.93,0.317,15.1,14.8,7.7,34.2,7.4,87.9
J.B. Wendelken,28,ARI,NL,0.2,2,2,0.5,4.34,20,0,9,0,0,2,18.2,15,9,9,2,9,1,13,0,0,0,77,99.0,4.62,1.286,7.2,1.0,4.3,6.3,1.44,,wendejb01,2021,j.b. wendelken,4.33,0.331,23.7,20.1,11.3,34.6,6.8,87.9
Taylor Clarke,28,ARI,NL,0.0,1,3,0.25,4.98,43,0,10,0,0,0,43.1,52,28,24,4,14,2,39,0,0,2,194,85.0,3.54,1.523,10.8,0.8,2.9,8.1,2.79,,clarkta01,2021,taylor clarke,4.98,0.322,22.7,20.1,7.2,43.3,7.8,91.9
