Year,Player,Age
2021,Eduardo Escobar#,32
2021,Josh Rojas*,27
2021,Pavin Smith*,25
2021,David Peralta*,33
2021,Nick Ahmed,31
2021,Christian Walker,30
2021,Ketel Marte#,27
2021,Carson Kelly,26
2021,Asdrúbal Cabrera#,35
2021,Daulton Varsho*,24
2021,Josh VanMeter*,26
2021,Stephen Vogt*,36
2021,Kole Calhoun*,33
2021,Josh Reddick*,34
2021,Tim Locastro,28
2021,Andrew Young,27
2021,Domingo Leyba#,25
2021,Drew Ellis,25
2021,Ildemaro Vargas#,29
2021,Jake McCarthy*,23
2021,Merrill Kelly,32
2021,Henry Ramos#,29
2021,Madison Bumgarner,31
2021,Wyatt Mathisen,27
2021,Zac Gallen,25
2021,Nick Heath*,27
2021,Geraldo Perdomo#,21
2021,Bryan Holaday,33
2021,Jake Hager,28
2021,Caleb Smith,29
2021,Luke Weaver,27
2021,Taylor Widener*,26
2021,Stuart Fairchild,25
2021,Matt Peacock,27
2021,Riley Smith,26
2021,Tyler Gilbert*,27
2021,Seth Beer*,24
2021,Humberto Mejía,24
2021,Humberto Castellanos,23
2021,Seth Frankoff,32
2021,Corbin Martin,25
2021,Alex Young*,27
2021,Taylor Clarke,28
2021,Jon Duplantier*,26
2021,Jake Faria,27
2021,Sean Poppen,27
2021,Miguel Aguilar*,29
2021,Ryan Buchter*,34
2021,JB Bukauskas,24
2021,Tyler Clippard,36
2021,Stefan Crichton,29
2021,Brett de Geus,23
2021,Chris Devenski,30
2021,Luis Frías,23
2021,Kevin Ginkel*,27
2021,Yoan López,28
2021,Joe Mantiply,30
2021,Keury Mella,27
2021,Noé Ramirez,31
2021,Brandyn Sittinger,27
2021,Joakim Soria,37
2021,Anthony Swarzak,35
2021,Jordan Weems*,28
2021,J.B. Wendelken,28
2022,Christian Walker,31
2022,Daulton Varsho*,25
2022,Ketel Marte#,28
2022,Josh Rojas*,28
2022,Geraldo Perdomo#,22
2022,David Peralta*,34
2022,Alek Thomas*,22
2022,Emmanuel Rivera,26
2022,Carson Kelly,27
2022,Jake McCarthy*,24
2022,Pavin Smith*,26
2022,Jordan Luplow,28
2022,Sergio Alcántara#,25
2022,Cooper Hummel#,27
2022,Seth Beer*,25
2022,José Herrera#,25
2022,Corbin Carroll*,21
2022,Buddy Kennedy,23
2022,Stone Garrett,26
2022,Jake Hager,29
2022,Nick Ahmed,32
2022,Matt Davidson,31
2022,Yonny Hernández#,24
2022,Drew Ellis,26
2022,Grayson Greiner,29
2022,Wilmer Difo#,30
2022,Kevin Ginkel*,28
2022,Ian Kennedy,37
2022,Joe Mantiply,31
2022,Mark Melancon,37
2022,Keynan Middleton,28
2022,Reyes Moronta,29
2022,Kyle Nelson*,25
2022,Sean Poppen,28
2022,Noé Ramirez,32
2022,Luke Weaver,28
2022,J.B. Wendelken,29
2023,Christian Walker,32
2023,Ketel Marte#,29
2023,Corbin Carroll*,22
2023,Lourdes Gurriel Jr.,29
2023,Geraldo Perdomo#,23
2023,Tommy Pham,35
2023,Jace Peterson*,33
2023,Alek Thomas*,23
2023,Gabriel Moreno,23
2023,Josh Rojas*,29
2023,Jake McCarthy*,25
2023,Emmanuel Rivera,27
2023,Evan Longoria,37
2023,Pavin Smith*,27
2023,Nick Ahmed,33
2023,Seby Zavala,29
2023,Dominic Canzone*,25
2023,Carson Kelly,28
2023,José Herrera#,26
2023,Dominic Fletcher*,25
2023,Kyle Lewis,27
2023,Jordan Lawlar,20
2023,Buddy Kennedy,24
2023,Diego Castillo,25
2023,Miguel Castro,28
2023,Andrew Chafin,33
2023,Luis Frías,25
2023,Kevin Ginkel*,29
2023,Drey Jameson,25
2023,Bryce Jarvis*,25
2023,Scott McGough,33
2023,Kyle Nelson*,26
2023,José Ruiz,28
2023,Paul Sewald,33
2024,Corbin Carroll*,23
2024,Eugenio Suárez,32
2024,Josh Bell#,31
2024,Ketel Marte#,30
2024,Lourdes Gurriel Jr.,30
2024,Christian Walker,33
2024,Jake McCarthy*,26
2024,Joc Pederson*,32
2024,Geraldo Perdomo#,24
2024,Gabriel Moreno,24
2024,Kevin Newman,30
2024,Randal Grichuk,32
2024,Luis Guillorme*,29
2024,Blaze Alexander,25
2024,Pavin Smith*,28
2024,José Herrera#,27
2024,Alek Thomas*,24
2024,Tucker Barnhart*,33
2024,Adrian Del Castillo*,24
2024,Jace Peterson*,34
2024,Jorge Barrosa#,23
2024,Scott McGough,34
2024,Luis Frías,26
2024,Kevin Ginkel*,30
2024,Bryce Jarvis*,26
2024,Joe Mantiply,33
2024,Justin Martínez,22
2024,A.J. Puk*,29
2024,Paul Sewald,34
2024,Ryan Thompson,32
2025,Geraldo Perdomo#,25
2025,Eugenio Suárez,33
2025,Corbin Carroll*,24
2025,Josh Naylor*,28
2025,Ketel Marte#,31
2025,Lourdes Gurriel Jr.,31
2025,Alek Thomas*,25
2025,Gabriel Moreno,25
2025,Randal Grichuk,33
2025,Pavin Smith*,29
2025,Blaze Alexander,26
2025,Tim Tawa,26
2025,Jake McCarthy*,27
2025,José Herrera#,28
2025,James McCann,35
2025,Adrian Del Castillo*,25
2025,Ildemaro Vargas#,33
2025,Tyler Locklear,24
2025,Garrett Hampson,30
2025,Jorge Barrosa#,24
2025,Jordan Lawlar,22
2025,Tristin English,28
2025,Connor Kaiser,28
2025,Aramis Garcia,32
2025,Ryne Nelson,27
2025,Kyle Backhus*,27
2025,John Curtiss,32
2025,Brandyn Garcia*,25
2025,Drey Jameson,27
2025,Joe Mantiply,34
2025,Justin Martínez,23
2025,Shelby Miller,34
2025,Juan Morillo,26
2025,A.J. Puk*,30
2025,Andrew Saalfrank*,27
2025,Ryan Thompson,33
