Year,Player,Age
2021,Merrill Kelly,32
2021,Madison Bumgarner*,31
2021,Zac Gallen,25
2021,Caleb Smith*,29
2021,Matt Peacock,27
2021,Taylor Widener,26
2021,Riley Smith,26
2021,Luke Weaver,27
2021,Alex Young*,27
2021,Brett de Geus,23
2021,Humberto Castellanos,23
2021,J.B. Wendelken,28
2021,Taylor Clarke,28
2021,Tyler Gilbert*,27
2021,Joe Mantiply*,30
2021,Joakim Soria,37
2021,Noé Ramirez,31
2021,Jake Faria,27
2021,Kevin Ginkel,27
2021,Tyler Clippard,36
2021,Stefan Crichton,29
2021,Sean Poppen,27
2021,Humberto Mejía,24
2021,JB Bukauskas,24
2021,Ryan Buchter*,34
2021,Corbin Martin,25
2021,Seth Frankoff,32
2021,Jon Duplantier,26
2021,Yoan López,28
2021,Anthony Swarzak,35
2021,Chris Devenski,30
2021,Miguel Aguilar*,29
2021,Jordan Weems,28
2021,Brandyn Sittinger,27
2021,Luis Frías,23
2021,Keury Mella,27
2021,Asdrúbal Cabrera,35
2021,Bryan Holaday,33
2021,Wyatt Mathisen,27
2021,David Peralta*,33
2021,Josh Reddick,34
2022,Merrill Kelly,33
2022,Zac Gallen,26
2022,Madison Bumgarner*,32
2022,Zach Davies,29
2022,Caleb Smith*,30
2022,Dallas Keuchel*,34
2022,Joe Mantiply*,31
2022,Mark Melancon,37
2022,Ian Kennedy,37
2022,Noé Ramirez,32
2022,Tommy Henry*,24
2022,Humberto Castellanos,24
2022,Reyes Moronta,29
2022,Kyle Nelson*,25
2022,Luke Weaver,28
2022,Tyler Gilbert*,28
2022,Kevin Ginkel,28
2022,J.B. Wendelken,29
2022,Sean Poppen,28
2022,Drey Jameson,24
2022,Corbin Martin,26
2022,Ryne Nelson,24
2022,Taylor Widener,27
2022,Luis Frías,24
2022,Keynan Middleton,28
2022,Edwin Uceta,24
2022,Chris Devenski,31
2022,Paul Fry*,29
2022,Matt Peacock,28
2022,Tyler Holton*,26
2022,Carson Kelly,27
2022,Óliver Pérez*,40
2022,Jake Hager,29
2023,Zac Gallen,27
2023,Merrill Kelly,34
2023,Ryne Nelson,25
2023,Brandon Pfaadt,24
2023,Tommy Henry*,25
2023,Zach Davies,30
2023,Scott McGough,33
2023,Kevin Ginkel,29
2023,Miguel Castro,28
2023,Paul Sewald,33
2023,Kyle Nelson*,26
2023,Andrew Chafin*,33
2023,José Ruiz,28
2023,Drey Jameson,25
2023,Joe Mantiply*,32
2023,Peter Strzelecki,28
2023,Luis Frías,25
2023,Ryan Thompson,31
2023,Slade Cecconi,24
2023,Bryce Jarvis,25
2023,Austin Adams,32
2023,Tyler Gilbert*,29
2023,Madison Bumgarner*,33
2023,Peter Solomon,26
2023,Nabil Crismatt,28
2023,Anthony Misiewicz*,28
2023,Andrew Saalfrank*,25
2023,Justin Martínez,21
2023,Cole Sulser,33
2023,Carlos Vargas,23
2023,Carson Kelly,28
2023,José Herrera,26
2023,Josh Rojas,29
2023,Seby Zavala,29
2024,Brandon Pfaadt,25
2024,Ryne Nelson,26
2024,Zac Gallen,28
2024,Jordan Montgomery*,31
2024,Slade Cecconi,25
2024,Merrill Kelly,35
2024,Justin Martínez,22
2024,A.J. Puk*,29
2024,Kevin Ginkel,30
2024,Dylan Floro,33
2024,Ryan Thompson,32
2024,Joe Mantiply*,33
2024,Bryce Jarvis,26
2024,Eduardo Rodríguez*,31
2024,Paul Sewald,34
2024,Tommy Henry*,26
2024,Thyago Vieira,31
2024,Scott McGough,34
2024,Matt Bowman,33
2024,Yilber Díaz,23
2024,Logan Allen*,27
2024,Blake Walston*,23
2024,Brandon Hughes*,28
2024,Miguel Castro,29
2024,Kyle Nelson*,27
2024,Humberto Castellanos,26
2024,Luis Frías,26
2024,Cristian Mena,21
2024,Joe Jacques*,29
2024,Tucker Barnhart,33
2024,Andrew Saalfrank*,26
2024,Pavin Smith*,28
2025,Zac Gallen,29
2025,Merrill Kelly,36
2025,Brandon Pfaadt,26
2025,Eduardo Rodríguez*,32
2025,Ryne Nelson,27
2025,Corbin Burnes,30
2025,Jalen Beeks*,31
2025,Shelby Miller,34
2025,Ryan Thompson,33
2025,Anthony DeSclafani,35
2025,John Curtiss,32
2025,Jake Woodford,28
2025,Juan Morillo,26
2025,Nabil Crismatt,30
2025,José Castillo*,29
2025,Andrew Saalfrank*,27
2025,Tayler Scott,33
2025,Kevin Ginkel,31
2025,Kyle Backhus*,27
2025,Bryce Jarvis,27
2025,Kendall Graveman,34
2025,Taylor Rashi,29
2025,Scott McGough,35
2025,Justin Martínez,23
2025,Brandyn Garcia*,25
2025,Juan Burgos,25
2025,Andrew Hoffmann,25
2025,Joe Mantiply*,34
2025,A.J. Puk*,30
2025,Tommy Henry*,27
2025,Cristian Mena,22
2025,Trevor Richards,32
2025,J.P. Feyereisen,32
2025,Philip Abner*,23
2025,Jeff Brigham,33
2025,Yilber Díaz,24
2025,Drey Jameson,27
2025,Christian Montes De Oca,25
2025,José Herrera,28
2025,Kyle Nelson*,28
2025,Austin Pope,26
2025,Casey Kelly,35
