Year,Player,WAR
2021,Merrill Kelly,2.5
2021,Zac Gallen,2.1
2021,Madison Bumgarner*,1.4
2021,Tyler Gilbert*,1.1
2021,Luke Weaver,1.0
2021,Noé Ramirez,0.8
2021,Taylor Widener,0.8
2021,Caleb Smith*,0.7
2021,Tyler Clippard,0.6
2021,Humberto Castellanos,0.3
2022,Zac Gallen,5.3
2022,Merrill Kelly,3.8
2022,Drey Jameson,1.2
2022,Kyle Nelson*,1.0
2022,Joe Mantiply*,0.9
2022,Zach Davies,0.9
2022,Ryne Nelson,0.8
2022,Taylor Widener,0.2
2022,Caleb Smith*,0.1
2022,Kevin Ginkel,0.1
2023,Zac Gallen,4.4
2023,Merrill Kelly,4.0
2023,Kevin Ginkel,1.3
2023,Tommy Henry*,1.1
2023,Drey Jameson,0.8
2023,Ryan Thompson,0.7
2023,Andrew Saalfrank*,0.5
2023,Bryce Jarvis,0.4
2023,Miguel Castro,0.4
2023,Paul Sewald,0.4
2024,Zac Gallen,2.6
2024,Justin Martínez,1.9
2024,Ryne Nelson,1.6
2024,A.J. Puk*,1.3
2024,Merrill Kelly,1.1
2024,Ryan Thompson,1.0
2024,Bryce Jarvis,0.8
2024,Kevin Ginkel,0.8
2024,Joe Mantiply*,0.6
2024,Brandon Pfaadt,0.4
2025,Ryne Nelson,3.5
2025,Merrill Kelly,3.0
2025,Corbin Burnes,2.0
2025,Andrew Saalfrank*,1.6
2025,Shelby Miller,1.6
2025,Zac Gallen,1.1
2025,Jalen Beeks*,0.9
2025,Brandon Pfaadt,0.6
2025,Cristian Mena,0.4
2025,John Curtiss,0.4
