Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Player-additional.1,player_clean,xwoba,xslg,k_percent,bb_percent,barrel_batted_rate,bat_fit_score
Aaron Judge,33,NYY,AL,9.7,152,679,541,137,179,30,2,53,114,12,5,124,160,0.331,0.457,0.688,1.144,215.0,0.461,212.0,372,16,7,0,7,36,9D/H,ASMVP-1SS,judgeaa01,judgeaa01,aaron judge,0.46,0.708,23.6,18.3,24.7,3.934171958728924
Shohei Ohtani*,30,LAD,NL,6.6,158,727,611,146,172,25,9,55,102,20,6,109,187,0.282,0.392,0.622,1.014,179.0,0.423,175.0,380,9,3,0,2,20,*D1,ASMVP-1SS,ohtansh01,ohtansh01,shohei ohtani,0.425,0.649,25.7,15.0,23.5,3.0041694657122693
Juan Soto*,26,NYM,NL,6.2,160,715,577,120,152,20,1,43,105,38,4,127,137,0.263,0.396,0.525,0.921,160.0,0.41,163.0,303,17,3,1,6,13,*9/D,MVP-3SS,sotoju01,sotoju01,juan soto,0.429,0.608,19.2,17.8,18.1,2.941588112440399
Kyle Schwarber*,32,PHI,NL,4.7,162,724,604,111,145,23,2,56,132,10,2,108,197,0.24,0.365,0.563,0.928,150.0,0.396,149.0,340,4,11,0,1,6,*D/7,ASMVP-2,schwaky01,schwaky01,kyle schwarber,0.403,0.584,27.2,14.9,20.8,2.282412061438668
George Springer,35,TOR,AL,4.8,140,586,498,106,154,27,1,32,84,18,1,69,111,0.309,0.399,0.56,0.959,161.0,0.414,165.0,279,14,8,0,4,3,D978/H,MVP-7SS,springe01,springe01,george springer,0.404,0.571,18.9,11.8,16.1,2.1860627805863255
Corey Seager*,31,TEX,AL,6.2,102,445,380,61,103,19,0,21,50,3,0,58,87,0.271,0.373,0.487,0.86,151.0,0.37,153.0,185,13,5,0,2,10,6/D,,seageco01,seageco01,corey seager,0.4,0.569,19.6,13.0,15.3,2.1203212918286023
Ronald Acuña Jr.,27,ATL,NL,3.0,95,412,338,74,98,12,1,21,42,9,1,71,102,0.29,0.417,0.518,0.935,163.0,0.407,162.0,175,5,3,0,0,4,9/DH,AS,acunaro01,acunaro01,ronald acuña jr.,0.397,0.535,24.8,17.2,15.7,1.9399904962363337
Ben Rice*,26,NYY,AL,2.3,138,530,467,74,119,28,4,26,65,3,2,50,100,0.255,0.337,0.499,0.836,131.0,0.355,130.0,233,18,9,0,2,0,3D2H,,ricebe01,ricebe01,ben rice,0.394,0.557,18.9,9.4,15.4,1.8879091643986332
Pete Alonso,30,NYM,NL,3.4,162,709,624,87,170,41,1,38,126,1,2,61,162,0.272,0.347,0.524,0.871,144.0,0.371,142.0,327,23,15,0,9,5,*3/D,ASMVP-11SS,alonspe01,alonspe01,pete alonso,0.386,0.572,22.8,8.6,18.9,1.8484059020304269
Cal Raleigh#,28,SEA,AL,7.4,159,705,596,110,147,24,0,60,125,14,4,97,188,0.247,0.359,0.589,0.948,169.0,0.392,165.0,351,6,9,0,3,17,*2D/H,ASMVP-2SS,raleica01,raleica01,cal raleigh,0.371,0.547,26.7,13.8,19.5,1.6345482263659956
Vladimir Guerrero Jr.,26,TOR,AL,4.6,156,680,589,96,172,34,0,23,84,6,3,81,94,0.292,0.381,0.467,0.848,133.0,0.365,133.0,275,17,6,0,4,8,*3D/H,ASMVP-13,guerrvl02,guerrvl02,vladimir guerrero jr.,0.384,0.506,13.8,11.9,12.2,1.6305154060367972
Michael Busch*,27,CHC,NL,4.6,155,592,524,78,137,25,5,34,90,4,0,56,139,0.261,0.343,0.523,0.866,147.0,0.376,148.0,274,2,10,0,2,2,*3H/D,MVP-16,buschmi02,buschmi02,michael busch,0.378,0.548,23.5,9.5,17.1,1.5833957084687318
Kyle Stowers*,27,MIA,NL,3.6,117,457,399,61,115,21,3,25,73,5,1,48,125,0.288,0.368,0.544,0.912,149.0,0.391,148.0,217,6,5,1,4,3,79H8/D,AS,stoweky01,stoweky01,kyle stowers,0.375,0.537,27.4,10.5,19.0,1.4898022436778353
Max Muncy*,34,LAD,NL,3.6,100,388,313,48,76,10,2,19,67,4,0,64,83,0.243,0.376,0.47,0.846,136.0,0.37,136.0,147,4,6,0,5,2,5H,,muncyma01,muncyma01,max muncy,0.374,0.497,21.4,16.5,13.6,1.4640936853230644
Will Smith,30,LAD,NL,4.5,110,436,362,64,107,20,1,17,61,2,3,64,89,0.296,0.404,0.497,0.901,152.0,0.387,151.0,180,7,5,0,5,1,2H/D,ASMVP-20,smithwi05,smithwi05,will smith,0.378,0.496,20.4,14.7,12.2,1.4266751352316227
Nick Kurtz*,22,ATH,AL,5.4,117,489,420,90,122,26,2,36,86,2,1,63,151,0.29,0.383,0.619,1.002,173.0,0.418,174.0,260,4,2,0,3,3,*3/DH,MVP-12ROY-1SS,kurtzni01,kurtzni01,nick kurtz,0.372,0.537,30.9,12.9,18.4,1.4191689547092248
Kyle Tucker*,28,CHC,NL,4.6,136,597,500,91,133,25,4,22,73,25,3,87,88,0.266,0.377,0.464,0.841,143.0,0.375,143.0,232,8,4,1,3,7,*9D/H,ASSS,tuckeky01,tuckeky01,kyle tucker,0.372,0.483,14.7,14.6,10.8,1.3894148207767578
Trent Grisham*,28,NYY,AL,3.5,143,581,494,87,116,9,1,34,74,3,2,82,137,0.235,0.348,0.464,0.811,125.0,0.363,135.0,229,7,4,0,1,0,*8/H,,grishtr01,grishtr01,trent grisham,0.37,0.498,23.6,14.1,14.2,1.299069901407104
Jonathan Aranda*,27,TBR,AL,3.5,106,422,370,56,117,22,0,14,59,0,2,41,107,0.316,0.393,0.489,0.883,146.0,0.377,147.0,181,9,8,0,3,3,3DH,AS,arandjo01,arandjo01,jonathan aranda,0.382,0.515,25.4,9.7,12.8,1.2846336026900727
Rafael Devers*,28,SFG,NL,1.9,90,395,335,52,79,15,0,20,51,0,0,56,116,0.236,0.347,0.46,0.807,130.0,0.349,127.0,154,9,2,0,2,3,D3/5H,,deverra01,deverra01,rafael devers,0.367,0.487,26.3,15.4,16.0,1.2441712854400995
Rafael Devers*,28,2TM,2LG,4.1,163,729,607,99,153,33,0,35,109,1,1,112,192,0.252,0.372,0.479,0.851,140.0,0.366,139.0,291,16,6,0,4,10,*D3/5H,,deverra01,deverra01,rafael devers,0.367,0.487,26.3,15.4,16.0,1.2441712854400995
Rafael Devers*,28,BOS,AL,2.3,73,334,272,47,74,18,0,15,58,1,1,56,76,0.272,0.401,0.504,0.905,151.0,0.387,153.0,137,7,4,0,2,7,D,,deverra01,deverra01,rafael devers,0.367,0.487,26.3,15.4,16.0,1.2441712854400995
Jo Adell,26,LAA,AL,1.2,152,573,526,63,124,18,1,37,98,5,1,33,151,0.236,0.293,0.485,0.778,111.0,0.335,112.0,255,10,10,0,1,0,*89/HD,,adelljo01,adelljo01,jo adell,0.365,0.549,26.4,5.8,17.3,1.2279880460475066
Fernando Tatis Jr.,26,SDP,NL,5.9,155,691,594,111,159,27,2,25,71,32,7,89,129,0.268,0.368,0.446,0.814,125.0,0.368,129.0,265,6,6,0,2,7,*9/D,ASMVP-8GG,tatisfe02,tatisfe02,fernando tatis jr.,0.37,0.488,18.7,12.9,10.9,1.2268594381852453
Bryce Harper*,32,PHI,NL,3.1,132,580,501,72,131,32,0,27,75,12,2,70,121,0.261,0.357,0.487,0.844,129.0,0.367,127.0,244,5,6,0,3,6,*3/D,,harpebr03,harpebr03,bryce harper,0.368,0.492,20.9,12.1,12.3,1.1834234115792375
