Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,player_clean,p_era,xwoba,whiff_percent,k_percent,bb_percent,hard_hit_percent,relief_fit_score
Mason Miller,26,ATH,AL,0.8,1,2,0.333,3.76,38,0,32,0,0,20,38.1,21,17,16,4,18,2,59,1,1,3,151,112.0,2.9,1.017,4.9,0.9,4.2,13.9,3.28,,millema03,mason miller,2.63,0.249,45.2,44.4,12.0,37.6,2.649984937521376
Mason Miller,26,2TM,2LG,2.2,1,2,0.333,2.63,60,0,37,0,0,22,61.2,28,19,18,5,28,2,104,1,1,3,234,162.0,2.23,0.908,4.1,0.7,4.1,15.2,3.71,,millema03,mason miller,2.63,0.249,45.2,44.4,12.0,37.6,2.649984937521376
Josh Hader*,31,HOU,AL,2.3,6,2,0.75,2.05,48,0,41,0,0,28,52.2,29,16,12,8,16,1,76,2,0,2,206,205.0,3.25,0.854,5.0,1.4,2.7,13.0,4.75,AS,haderjo01,josh hader,2.05,0.221,40.5,36.9,7.8,34.2,2.532692506883717
Edwin Díaz,31,NYM,NL,3.0,6,3,0.667,1.63,62,0,48,0,0,28,66.1,37,14,12,4,21,0,98,8,0,7,258,248.0,2.28,0.874,5.0,0.5,2.8,13.3,4.67,AS,diazed04,edwin díaz,1.63,0.247,41.5,38.0,8.1,39.7,2.3975570878241577
Aroldis Chapman*,37,BOS,AL,3.5,5,3,0.625,1.17,67,0,43,0,0,32,61.1,28,9,8,3,15,0,85,0,0,6,228,351.0,1.73,0.701,4.1,0.4,2.2,12.5,5.67,ASCYA-7MVP-18,chapmar01,aroldis chapman,1.17,0.227,35.8,37.3,6.6,36.7,2.311204891876857
Fernando Cruz,35,NYY,AL,0.3,3,4,0.429,3.56,49,0,4,0,0,2,48.0,33,21,19,5,24,0,72,3,0,5,200,115.0,3.18,1.188,6.2,0.9,4.5,13.5,3.0,,cruzfe01,fernando cruz,3.56,0.288,46.5,36.0,12.0,38.6,1.9567101302142786
Cade Smith,26,CLE,AL,0.9,8,5,0.615,2.93,76,0,30,0,0,16,73.2,55,31,24,4,19,3,104,4,2,3,300,143.0,1.95,1.005,6.7,0.5,2.3,12.7,5.47,,smithca06,cade smith,2.93,0.248,34.3,34.7,6.3,37.0,1.8339006942629543
Kyle Bradish,28,BAL,AL,1.2,1,1,0.5,2.53,6,6,0,0,0,0,32.0,23,9,9,3,10,0,47,1,0,0,126,160.0,2.45,1.031,6.5,0.8,2.8,13.2,4.7,,bradiky01,kyle bradish,2.53,0.275,34.8,37.3,7.9,38.2,1.726526680948149
Randy Rodríguez,25,SFG,NL,1.9,3,5,0.375,1.78,50,0,15,0,0,4,50.2,34,12,10,4,11,0,67,4,0,2,198,225.0,2.4,0.888,6.0,0.7,2.0,11.9,6.09,AS,rodrira02,randy rodríguez,1.78,0.251,31.1,33.8,5.6,36.2,1.7069446826967631
Gabe Speier*,30,SEA,AL,1.4,4,3,0.571,2.61,76,0,4,0,0,0,62.0,43,19,18,5,11,1,82,5,0,1,243,145.0,2.31,0.871,6.2,0.7,1.6,11.9,7.45,,speiega01,gabe speier,2.61,0.247,30.9,33.7,4.5,40.7,1.6466389101309777
Bryan Abreu,28,HOU,AL,2.6,3,4,0.429,2.28,70,0,19,0,0,7,71.0,51,18,18,4,31,0,105,4,0,4,296,184.0,2.39,1.155,6.5,0.5,3.9,13.3,3.39,,abreubr01,bryan abreu,2.28,0.289,41.2,35.5,10.5,45.5,1.639992011220185
Phil Maton,32,STL,NL,1.1,1,3,0.25,2.35,40,0,9,0,0,2,38.1,28,12,10,1,15,1,48,5,0,1,158,176.0,2.54,1.122,6.6,0.2,3.5,11.3,3.2,,matonph01,phil maton,2.79,0.264,36.2,32.5,9.6,30.7,1.6274094641946302
Phil Maton,32,2TM,2LG,1.3,4,5,0.444,2.79,63,0,22,0,0,5,61.1,42,21,19,3,23,2,81,7,0,1,248,143.0,2.6,1.06,6.2,0.4,3.4,11.9,3.52,,matonph01,phil maton,2.79,0.264,36.2,32.5,9.6,30.7,1.6274094641946302
Garrett Cleavinger*,31,TBR,AL,1.9,2,6,0.25,2.35,67,0,9,0,0,2,61.1,40,17,16,9,18,0,82,7,0,1,243,175.0,3.59,0.946,5.9,1.3,2.6,12.0,4.56,,cleavga01,garrett cleavinger,2.35,0.281,36.0,33.7,7.4,41.2,1.5650479244744282
Jeremiah Estrada,26,SDP,NL,1.2,4,5,0.444,3.45,77,0,7,0,0,3,73.0,58,31,28,12,27,2,108,3,0,3,304,124.0,3.55,1.164,7.2,1.5,3.3,13.3,4.0,,estraje01,jeremiah estrada,3.45,0.26,34.9,35.5,8.9,39.2,1.5635520333014021
Devin Williams,30,NYY,AL,-0.3,4,6,0.4,4.79,67,0,29,0,0,18,62.0,45,37,33,5,25,1,90,4,0,4,259,85.0,2.68,1.129,6.5,0.7,3.6,13.1,3.6,,willide03,devin williams,4.79,0.272,37.7,34.7,9.7,35.7,1.54600139352106
Bennett Sousa*,30,HOU,AL,1.4,5,1,0.833,2.84,44,0,13,0,0,4,50.2,37,18,16,4,15,0,59,0,0,4,199,148.0,2.72,1.026,6.6,0.7,2.7,10.5,3.93,,sousabe01,bennett sousa,2.84,0.266,36.8,29.6,7.5,36.8,1.5321044518500058
Griffin Jax,30,2TM,AL,0.5,1,7,0.125,4.23,73,2,6,0,0,0,66.0,64,33,31,7,21,3,99,1,0,0,283,101.0,2.51,1.288,8.7,1.0,2.9,13.5,4.71,,jaxgr01,griffin jax,4.23,0.282,37.3,35.0,7.4,44.1,1.5224845007751504
Griffin Jax,30,MIN,AL,0.2,1,5,0.167,4.5,50,0,3,0,0,0,46.0,46,24,23,4,13,2,72,1,0,0,198,95.0,2.05,1.283,9.0,0.8,2.5,14.1,5.54,,jaxgr01,griffin jax,4.23,0.282,37.3,35.0,7.4,44.1,1.5224845007751504
Steven Okert*,33,HOU,AL,1.5,3,2,0.6,3.01,68,1,7,0,0,1,71.2,45,25,24,6,19,1,84,2,0,0,276,139.0,2.76,0.893,5.7,0.8,2.4,10.5,4.42,,okertst01,steven okert,3.01,0.253,32.8,30.4,6.9,32.7,1.5054621571701505
Dylan Lee*,30,ATL,NL,1.0,2,4,0.333,3.29,74,0,6,0,0,2,68.1,53,27,25,13,14,1,76,0,3,3,266,126.0,4.0,0.98,7.0,1.7,1.8,10.0,5.43,,leedy01,dylan lee,3.29,0.268,33.6,28.6,5.3,33.5,1.4562258505719872
Andrés Muñoz,26,SEA,AL,2.4,3,3,0.5,1.73,64,0,47,0,0,38,62.1,36,18,12,2,28,3,83,4,0,7,254,219.0,2.43,1.027,5.2,0.3,4.0,12.0,2.96,AS,munozan01,andrés muñoz,1.73,0.263,36.5,32.7,11.0,39.9,1.4478117241959059
Ronny Henriquez,25,MIA,NL,2.3,7,1,0.875,2.22,69,0,9,0,0,7,73.0,53,23,18,8,27,2,98,4,2,2,303,199.0,3.15,1.096,6.5,1.0,3.3,12.1,3.63,,henriro01,ronny henriquez,2.22,0.27,36.0,32.3,8.9,42.5,1.4239171194748925
Garrett Whitlock,29,BOS,AL,2.4,7,3,0.7,2.25,62,0,9,0,0,1,72.0,54,21,18,2,24,2,91,5,0,3,293,183.0,2.18,1.083,6.8,0.3,3.0,11.4,3.79,,whitlga01,garrett whitlock,2.25,0.262,32.8,31.1,8.2,36.4,1.3693622003934531
David Bednar,30,2TM,2LG,2.2,6,5,0.545,2.3,64,0,51,0,0,27,62.2,46,18,16,4,19,2,86,1,0,4,251,184.0,2.18,1.037,6.6,0.6,2.7,12.4,4.53,,bednada01,david bednar,2.3,0.264,31.1,34.3,7.6,42.1,1.345953331502582
