Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Player-additional.1,name,xwoba,xslg,k_percent,bb_percent
Dominic Canzone*,27,SEA,AL,1.6,82,269,243,30,73,11,0,11,32,3,1,20,59,0.3,0.358,0.481,0.84,142.0,0.361,142.0,117,6,3,0,2,0,9H/D,,canzodo01,canzodo01,dominic canzone,0.376,0.533,21.9,7.4
Roman Anthony*,21,BOS,AL,3.1,71,303,257,48,75,18,1,8,32,4,1,40,84,0.292,0.396,0.463,0.859,140.0,0.375,142.0,119,2,5,0,1,0,97D/H,ROY-3,anthoro01,anthoro01,roman anthony,0.372,0.484,27.7,13.2
Iván Herrera,25,STL,NL,2.2,107,452,388,54,110,13,0,19,66,8,2,43,84,0.284,0.373,0.464,0.837,136.0,0.372,140.0,180,20,15,0,4,1,D2/7H,,herreiv01,herreiv01,iván herrera,0.371,0.491,18.6,9.5
Rafael Devers*,28,BOS,AL,2.3,73,334,272,47,74,18,0,15,58,1,1,56,76,0.272,0.401,0.504,0.905,151.0,0.387,153.0,137,7,4,0,2,7,D,,deverra01,deverra01,rafael devers,0.367,0.487,26.3,15.4
Rafael Devers*,28,SFG,NL,1.9,90,395,335,52,79,15,0,20,51,0,0,56,116,0.236,0.347,0.46,0.807,130.0,0.349,127.0,154,9,2,0,2,3,D3/5H,,deverra01,deverra01,rafael devers,0.367,0.487,26.3,15.4
Dillon Dingler,26,DET,AL,3.1,126,469,435,54,121,21,2,13,57,0,0,23,110,0.278,0.327,0.425,0.752,108.0,0.329,109.0,185,5,9,0,1,2,*2/HD,GG,dingldi01,dingldi01,dillon dingler,0.351,0.475,23.5,4.9
Andrew Vaughn,27,2TM,2LG,-0.4,112,447,406,35,103,22,0,14,65,0,0,31,80,0.254,0.307,0.411,0.719,99.0,0.311,96.0,167,12,3,1,6,0,3D/H,,vaughan01,vaughan01,andrew vaughn,0.349,0.479,17.9,6.9
Andrew Vaughn,27,MIL,NL,1.3,64,254,221,26,68,14,0,9,46,0,0,24,37,0.308,0.375,0.493,0.869,141.0,0.374,139.0,109,8,3,1,5,0,3/H,,vaughan01,vaughan01,andrew vaughn,0.349,0.479,17.9,6.9
Daylen Lile*,22,WSN,NL,0.8,91,351,321,51,96,15,11,9,41,8,6,21,56,0.299,0.347,0.498,0.845,137.0,0.368,142.0,160,5,4,1,3,0,97D/H,ROY-5,lileda01,lileda01,daylen lile,0.348,0.449,16.0,6.0
Jackson Merrill*,22,SDP,NL,2.7,115,483,440,59,116,25,6,16,67,1,2,33,108,0.264,0.317,0.457,0.774,112.0,0.331,108.0,201,4,4,1,5,1,*8/H,,merrija01,merrija01,jackson merrill,0.347,0.49,22.4,6.8
Will Benson*,27,CIN,NL,0.6,90,253,230,31,52,8,2,12,41,2,2,16,67,0.226,0.273,0.435,0.708,88.0,0.301,81.0,100,4,1,0,6,1,97H8/D,,bensowi01,bensowi01,will benson,0.342,0.496,26.5,6.3
Colson Montgomery*,23,CHW,AL,3.3,71,284,255,43,61,9,1,21,55,0,0,25,83,0.239,0.311,0.529,0.84,130.0,0.357,131.0,135,3,2,0,1,1,65/H,ROY-5,montgco01,montgco01,colson montgomery,0.341,0.501,29.2,8.8
