Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,name,whiff_percent,k_percent,bb_percent,xwoba
Mason Miller,26,ATH,AL,0.8,1,2,0.333,3.76,38,0,32,0,0,20,38.1,21,17,16,4,18,2,59,1,1,3,151,112.0,2.9,1.017,4.9,0.9,4.2,13.9,3.28,,millema03,mason miller,45.2,44.4,12.0,0.249
Brendon Little*,28,TOR,AL,1.1,4,2,0.667,3.03,79,0,4,0,0,1,68.1,48,28,23,2,45,4,91,2,1,7,295,141.0,2.92,1.361,6.3,0.3,5.9,12.0,2.02,,littlbr02,brendon little,43.5,30.8,15.3,0.286
Erik Sabrowski*,27,CLE,AL,0.8,0,1,0.0,1.84,33,0,3,0,0,0,29.1,14,8,6,2,21,0,42,3,0,0,121,230.0,3.61,1.193,4.3,0.6,6.4,12.9,2.0,,sabroer01,erik sabrowski,38.1,34.7,17.4,0.286
Connor Phillips,24,CIN,NL,0.7,5,0,1.0,2.88,21,0,5,0,0,0,25.0,11,9,8,3,12,0,32,2,0,2,98,160.0,3.82,0.92,4.0,1.1,4.3,11.5,2.67,,phillco01,connor phillips,37.4,32.7,12.2,0.309
Griffin Jax,30,MIN,AL,0.2,1,5,0.167,4.5,50,0,3,0,0,0,46.0,46,24,23,4,13,2,72,1,0,0,198,95.0,2.05,1.283,9.0,0.8,2.5,14.1,5.54,,jaxgr01,griffin jax,37.3,35.0,7.4,0.282
Griffin Jax,30,2TM,AL,0.5,1,7,0.125,4.23,73,2,6,0,0,0,66.0,64,33,31,7,21,3,99,1,0,0,283,101.0,2.51,1.288,8.7,1.0,2.9,13.5,4.71,,jaxgr01,griffin jax,37.3,35.0,7.4,0.282
Phil Maton,32,STL,NL,1.1,1,3,0.25,2.35,40,0,9,0,0,2,38.1,28,12,10,1,15,1,48,5,0,1,158,176.0,2.54,1.122,6.6,0.2,3.5,11.3,3.2,,matonph01,phil maton,36.2,32.5,9.6,0.264
Phil Maton,32,2TM,2LG,1.3,4,5,0.444,2.79,63,0,22,0,0,5,61.1,42,21,19,3,23,2,81,7,0,1,248,143.0,2.6,1.06,6.2,0.4,3.4,11.9,3.52,,matonph01,phil maton,36.2,32.5,9.6,0.264
Jeremiah Estrada,26,SDP,NL,1.2,4,5,0.444,3.45,77,0,7,0,0,3,73.0,58,31,28,12,27,2,108,3,0,3,304,124.0,3.55,1.164,7.2,1.5,3.3,13.3,4.0,,estraje01,jeremiah estrada,34.9,35.5,8.9,0.26
Cade Smith,26,CLE,AL,0.9,8,5,0.615,2.93,76,0,30,0,0,16,73.2,55,31,24,4,19,3,104,4,2,3,300,143.0,1.95,1.005,6.7,0.5,2.3,12.7,5.47,,smithca06,cade smith,34.3,34.7,6.3,0.248
Jonathan Bowlan,28,KCR,AL,0.2,1,2,0.333,3.86,34,1,7,0,0,0,44.1,37,21,19,6,17,0,46,0,0,1,180,107.0,3.97,1.218,7.5,1.2,3.5,9.3,2.71,,bowlajo01,jonathan bowlan,33.7,25.6,9.4,0.303
Elvis Alvarado,26,ATH,AL,0.7,1,1,0.5,3.19,37,0,13,0,0,0,42.1,34,17,15,6,22,1,50,2,0,2,183,132.0,4.32,1.323,7.2,1.3,4.7,10.6,2.27,,alvarel01,elvis alvarado,33.7,27.3,12.0,0.304
